,award_mean,scaled_perc_creative_class,creative_establishment_ratio,company_count_perc,percent_bachelors,percent_graduate,percent_foreign_born,recipient_mean,performance_mean,empowerment_zone,median_household_income,Year,score
0,0.8324043448239107,-0.0072289010276132964,0.0409314892620018,0.04697817428461364,0.09420704920390746,0.3501212181328996,-0.0451225873623268,0.19612545965070421,-0.3197388177144896,0.30594182486217647,0.7565021573987797,2001,Score_assigned
1,0.42220695526465973,-0.07004968067678494,0.09283226329604681,0.045359612398792895,-0.216627121794032,0.29204024105581317,0.0932180552700767,0.10481099957351431,0.07855541365516548,0.2117366214313259,0.6104761164919899,2002,Score_assigned
2,0.5291622065375526,-0.05149480585960538,0.15229241259793344,0.015593394156566305,-0.06849878411708335,0.2681602612739553,0.05991032213251207,0.09375212665561493,-0.09317970593838511,0.23430845073413473,0.6233872499617086,2003,Score_assigned
3,0.3114196189916413,-0.0005143918690533185,0.003132788458298522,0.11233893738562355,-0.0426983687171462,0.4176175680298215,0.04856861836010963,0.1558875396495257,0.12109026512095716,0.5014758851115675,1.1943419367362254,2004,Score_assigned
4,0.12922502849123843,-0.09135698320577233,0.19138608947641192,-0.06174214933891013,-0.026811703405137454,0.31951336601239555,0.06835512554446826,0.17306798748701133,0.44208022241293515,0.10002616976032888,0.7509479663728169,2005,Score_assigned
5,0.6075488593337802,-0.11277198244972539,0.12402237203224416,0.01425269919395245,0.02326459927061588,0.5115575019298583,-0.03963827325860049,0.1653905913605899,-0.0028679838055407146,0.31273111831062944,1.1796972582075218,2006,Score_assigned
6,0.5230017449915151,-0.06493563947146964,0.16511355804994413,-0.023664972108585165,0.03990931223503662,0.28629637389948365,-0.007377470411138986,0.1943497074262953,0.5715792989851199,-0.37751232574014304,0.8372461635932367,2007,Score_assigned
7,-0.08272271932349179,-0.22313188222371255,0.1694764298641756,-0.057416564221265454,-0.07552128232862486,0.39229888179619116,0.14881500818143265,0.23452995378823566,0.7187696467722513,0.03643761093992127,0.7042894949153585,2008,Score_assigned
8,0.6288764569785498,-0.2450739035971064,0.16381168028890059,-0.024530719767056963,0.0069612593966259856,0.28315836400707284,0.1653871251848099,0.26529704609197685,-0.015589658073707402,0.12631313711590506,0.9602700064199347,2009,Score_assigned
9,0.7633835753135553,-0.2638517877940569,0.2070935239045601,-0.09277477050481217,0.012200591539765703,0.2973952965100329,0.16924346484498198,0.3363002276584955,0.38229456294448,-0.37392759519888524,0.8354745081924401,2010,Score_assigned
10,0.6307105628370379,-0.2880443173136344,0.1709978993615145,-0.1513595404875065,0.026072302528200378,0.24780911325445945,0.21777354729931142,0.3099252831682284,-0.26378137175659916,0.3340632040413907,0.7759676649703223,2011,Score_assigned
11,0.5596660402276664,-0.2091518851885855,0.2093059564251479,-0.030209225693902428,0.023364209663028244,0.2570054213517415,0.24336402462790907,0.29282490469673794,0.46262165147072865,-0.32271847811085447,0.722034364617467,2012,Score_assigned
12,0.6167845359910981,-0.15807485200514937,-0.0023280501279760403,-0.0595416846008412,-0.0016522849973023097,0.46020630215996466,0.12018051896098558,0.19288748695915037,-0.3371809728101534,0.30423868100249973,0.5860081186076052,2001,Score_invented
13,0.7639583883349964,-0.10656305483916995,0.06098931236103927,-0.10593858784961542,-0.022209782566699574,0.3319755434379884,0.14210883655891202,0.16678136119439124,-0.19897639589566876,0.08655202714564073,0.7744552092797958,2002,Score_invented
14,0.5145953424557552,0.0676050851591463,0.02268269065570022,0.00017733882431108502,0.088386607177797,0.3644213821932636,0.06178556515452278,0.21337009871691603,-0.0623095116454137,0.21284273753349145,0.8701705296651862,2003,Score_invented
15,0.35339415501584365,0.08475401487726238,0.013648585417880228,0.01516847461284171,0.03917934967085764,0.43532052852368086,0.0713191756748099,0.1519316527096343,0.22039375804524147,0.12982661523434136,0.9842142866690727,2004,Score_invented
16,0.2399160568882996,-0.03577276797540788,0.05842380354025713,-0.08998122974867044,-0.042451722570594076,0.3157660588990051,0.12905619110443398,0.22253329709966038,0.21793039377562098,0.166325027325028,0.6646238557146814,2005,Score_invented
17,0.8560438509033257,-0.045879236863127025,0.018906254773491848,-0.052041841366917065,-0.0124624419465197,0.46636779097418796,0.07692619159260813,0.21560283648086007,-0.04705361975689812,-0.05898347656417764,1.0038516661444052,2006,Score_invented
18,0.8480456223616455,-0.039493381901799365,0.11083217192207731,-0.07052467981416106,0.026178709606475364,0.40548074212785173,0.014714542389233004,0.16348115423604384,-0.2469246593078703,0.02023584092459603,0.6144540976162932,2007,Score_invented
19,0.061481000787364556,-0.19975725942611264,0.0546994753028945,-0.08856419206696153,-0.07339550933216513,0.32894985194140297,0.26773009158623806,0.25928078691945133,0.534210469548699,0.04023578863640356,0.7239869088655304,2008,Score_invented
20,0.6927777026350947,-0.0012873789531829213,0.04709738555896839,-0.07386041432540086,-0.004864146847877525,0.3411540047364292,0.04824271126551783,0.22544057229753187,-0.13117714833983768,0.2151077150249562,0.8917952071729359,2009,Score_invented
21,0.7239377628185535,-0.09780917976215679,0.08939933818310057,-0.13232195018552623,-0.006952079757625054,0.4848101748027142,0.07680557384165135,0.28312992944961735,0.13002076516301392,-0.13855036799163475,0.9974249962163653,2010,Score_invented
22,0.7134073007253999,-0.04073059775236574,0.045481981483971964,-0.10221299612495639,0.0008502516283806495,0.30635047391706427,0.11569663876650897,0.26316391898322605,-0.2356614263874426,0.25495959578497884,0.8391067143267643,2011,Score_invented
23,0.5695166697048031,-0.014322486168741612,0.0819438447650933,-0.0248929710967819,-0.002776872742662346,0.40938291297971036,0.14159257865317498,0.2571814022358158,0.30754722660017125,-0.2486080064356656,0.7104003774968506,2012,Score_invented
